,Date-Time,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Side,BuyV,SellV
31602,2023-11-15 14:35:11.670697371,0.22,1,0.21,13,0.22,13,Buy,1,0
31603,2023-11-15 14:35:32.765096342,0.22,1,0.21,35,0.22,12,Buy,1,0
31604,2023-11-15 14:36:02.894854435,0.21,5,0.21,91,0.22,11,Sell,0,5
31605,2023-11-15 14:40:14.720191535,0.22,2,0.2,12,0.22,17,Buy,2,0
31606,2023-11-15 14:40:56.259943221,0.21,1,0.2,53,0.21,6,Buy,1,0
31607,2023-11-15 14:41:10.525132227,0.21,1,0.2,81,0.21,5,Buy,1,0
31608,2023-11-15 14:41:11.370429499,0.21,3,0.2,81,0.21,4,Buy,3,0
31609,2023-11-15 14:41:11.370429499,0.21,1,0.2,81,0.21,1,Buy,1,0
31610,2023-11-15 14:41:56.180666628,0.21,2,0.2,11,0.21,6,Buy,2,0
31611,2023-11-15 14:42:11.095209840,0.21,1,0.2,47,0.21,3,Buy,1,0
31612,2023-11-15 14:42:12.045060575,0.21,1,0.2,60,0.21,2,Buy,1,0
31613,2023-11-15 14:42:12.395498646,0.21,1,0.2,60,0.21,1,Buy,1,0
31614,2023-11-15 14:46:40.525299586,0.21,4,0.2,30,0.21,5,Buy,4,0
31615,2023-11-15 14:46:48.054721130,0.21,1,0.2,38,0.21,1,Buy,1,0
31616,2023-11-15 14:48:55.795405542,0.22,1,0.21,26,0.22,14,Buy,1,0
31617,2023-11-15 14:50:25.490606135,0.21,1,0.21,2,0.22,49,Sell,0,1
31618,2023-11-15 14:52:36.720421599,0.21,1,0.21,1,0.22,83,Sell,0,1
31619,2023-11-15 14:55:24.660045586,0.2,1,0.2,2,0.21,51,Sell,0,1
31620,2023-11-15 14:55:45.180155047,0.2,1,0.2,1,0.21,84,Sell,0,1
31621,2023-11-15 15:03:14.995064706,0.18,1,0.17,9,0.18,1,Buy,1,0
