Timestamp (UTC),Open,High,Low,Close
2023-12-22 15:30:00,181.800,182.175,181.800,182.175
2023-12-22 16:00:00,181.700,182.050,181.700,182.050
2023-12-22 16:30:00,182.100,182.100,181.900,182.025
2023-12-22 17:00:00,182.300,182.800,182.300,182.800
2023-12-22 17:30:00,182.575,182.700,182.575,182.700
2023-12-22 18:00:00,182.400,182.600,182.400,182.600
2023-12-22 18:30:00,182.450,182.625,182.275,182.275
2023-12-22 19:00:00,182.350,182.350,182.350,182.350
2023-12-26 14:30:00,181.375,182.000,181.125,182.000
2023-12-26 15:00:00,181.975,182.225,181.975,182.125
2023-12-26 15:30:00,182.150,182.425,182.150,182.350
2023-12-26 16:30:00,182.525,182.525,182.525,182.525
2023-12-26 17:00:00,182.725,182.900,182.725,182.900
2023-12-26 17:30:00,182.900,182.950,182.875,182.950
2023-12-26 18:00:00,183.000,183.375,183.000,183.375
2023-12-26 18:30:00,183.400,183.700,183.400,183.700
2023-12-27 14:30:00,183.625,184.050,183.525,183.850
2023-12-27 15:00:00,183.825,183.925,183.625,183.625
2023-12-27 15:30:00,183.700,183.925,183.175,183.300
2023-12-27 16:00:00,183.300,183.350,183.300,183.350
2023-12-27 16:30:00,183.375,183.450,183.225,183.225
2023-12-27 17:00:00,182.950,183.000,182.900,183.000
2023-12-27 17:30:00,183.000,183.175,183.000,183.175
2023-12-27 18:00:00,183.200,183.375,183.200,183.375
2023-12-27 18:30:00,183.350,183.700,183.350,183.500
2023-12-28 14:30:00,183.400,183.400,182.850,182.850
2023-12-28 15:00:00,183.050,183.500,182.800,183.500
2023-12-28 15:30:00,183.625,183.925,183.625,183.625
2023-12-28 16:00:00,183.600,183.725,183.225,183.350
2023-12-28 16:30:00,183.350,183.350,182.875,183.050
2023-12-28 17:00:00,182.900,183.100,182.900,183.100
2023-12-28 17:30:00,183.050,183.050,182.800,182.800
2023-12-28 18:00:00,182.825,183.225,182.600,183.225
2023-12-28 18:30:00,183.600,183.600,183.200,183.275
2023-12-28 19:00:00,183.400,183.600,183.400,183.600
2023-12-29 14:30:00,183.600,183.875,183.325,183.325
2023-12-29 15:00:00,183.375,183.525,183.325,183.400
2023-12-29 15:30:00,183.525,183.725,183.525,183.725
2023-12-29 16:00:00,183.675,183.675,183.675,183.675
2023-12-29 16:30:00,183.550,183.700,183.500,183.700
2023-12-29 17:00:00,183.700,183.800,183.575,183.575
2023-12-29 17:30:00,183.775,183.775,183.575,183.625
2023-12-29 18:00:00,183.625,183.875,183.625,183.725
2023-12-29 18:30:00,183.800,183.925,183.575,183.650
2023-12-29 19:00:00,183.700,183.700,183.700,183.700
2024-01-02 14:30:00,183.725,185.500,183.700,185.475
2024-01-02 15:00:00,185.600,185.675,184.725,185.000
2024-01-02 15:30:00,185.000,185.300,184.975,185.150
2024-01-02 16:00:00,185.425,185.600,185.275,185.275
2024-01-02 16:30:00,185.300,185.300,185.300,185.300
2024-01-02 17:00:00,185.300,185.300,184.850,184.850
2024-01-02 17:30:00,184.900,184.900,184.625,184.625
2024-01-02 18:00:00,184.675,185.075,184.675,185.025
2024-01-02 18:30:00,184.950,185.275,184.900,185.250
2024-01-02 19:00:00,185.050,185.050,185.050,185.050
2024-01-03 14:30:00,185.000,185.225,184.500,184.875
2024-01-03 15:00:00,184.950,185.150,184.500,184.950
2024-01-03 15:30:00,184.900,185.150,184.700,185.150
2024-01-03 16:00:00,184.700,184.725,184.700,184.725
2024-01-03 16:30:00,184.850,184.850,184.500,184.500
2024-01-03 17:00:00,184.675,184.750,184.575,184.700
2024-01-03 17:30:00,184.725,184.900,184.725,184.900
2024-01-03 18:00:00,185.075,185.250,184.975,185.225
2024-01-03 18:30:00,185.275,185.650,185.225,185.525
2024-01-03 19:00:00,185.600,185.625,185.550,185.550
2024-01-04 14:30:00,185.150,185.350,185.150,185.300
2024-01-04 15:00:00,185.175,185.175,185.000,185.000
2024-01-04 15:30:00,185.225,185.675,185.175,185.675
2024-01-04 16:00:00,185.800,185.800,185.300,185.300
2024-01-04 16:30:00,185.150,185.250,184.900,185.250
2024-01-04 17:00:00,184.950,185.100,184.925,185.100
2024-01-04 17:30:00,184.975,184.975,184.975,184.975
2024-01-04 18:00:00,185.075,185.275,185.075,185.275
2024-01-04 18:30:00,185.200,185.325,185.100,185.325
2024-01-04 19:00:00,185.275,185.350,185.250,185.350
2024-01-05 14:30:00,185.000,185.500,185.000,185.450
2024-01-05 15:00:00,185.375,186.325,185.375,186.075
2024-01-05 15:30:00,186.125,186.175,185.725,185.850
2024-01-05 16:00:00,185.700,185.825,185.425,185.500
2024-01-05 16:30:00,185.400,185.400,184.550,184.900
2024-01-05 17:30:00,184.800,184.800,184.725,184.750
2024-01-05 18:00:00,184.775,184.775,184.650,184.650
2024-01-05 18:30:00,184.425,184.800,184.425,184.775
2024-01-05 19:00:00,184.775,184.775,184.700,184.700
2024-01-08 14:30:00,184.800,185.725,184.675,185.650
2024-01-08 15:00:00,185.675,185.825,185.550,185.750
2024-01-08 15:30:00,185.650,185.750,184.400,184.400
2024-01-08 16:00:00,184.525,184.525,183.825,183.875
2024-01-08 16:30:00,183.875,184.025,183.700,183.700
2024-01-08 17:00:00,184.250,184.250,184.250,184.250
2024-01-08 17:30:00,184.400,184.500,184.400,184.500
2024-01-08 18:00:00,184.500,184.600,184.500,184.600
2024-01-08 18:30:00,184.575,184.575,183.775,183.825
2024-01-08 19:00:00,183.800,183.950,183.800,183.925
2024-01-09 14:30:00,183.525,183.700,183.450,183.575
2024-01-09 15:00:00,183.925,184.175,183.850,183.850
2024-01-09 15:30:00,183.800,184.175,183.800,184.175
2024-01-09 16:00:00,184.200,184.675,184.175,184.400
2024-01-09 16:30:00,184.450,184.500,184.025,184.125
2024-01-09 17:00:00,184.025,184.025,183.675,183.700
2024-01-09 17:30:00,183.500,183.700,183.500,183.700
2024-01-09 18:00:00,183.700,183.725,183.625,183.725
2024-01-09 18:30:00,184.000,184.200,183.850,183.875
2024-01-09 19:00:00,183.925,183.925,183.900,183.900
2024-01-10 14:30:00,184.175,184.450,184.025,184.425
2024-01-10 15:00:00,184.500,184.625,183.950,184.075
2024-01-10 15:30:00,184.050,184.375,184.050,184.150
2024-01-10 16:00:00,184.425,184.425,184.050,184.275
2024-01-10 16:30:00,184.550,184.750,184.550,184.600
2024-01-10 17:00:00,184.600,184.600,184.300,184.425
2024-01-10 17:30:00,184.450,184.450,184.125,184.125
2024-01-10 18:00:00,184.100,184.175,183.925,184.175
2024-01-10 18:30:00,184.225,184.250,183.975,184.125
2024-01-10 19:00:00,184.275,184.300,184.225,184.225
2024-01-11 14:30:00,183.850,183.850,183.600,183.800
2024-01-11 15:00:00,183.875,184.150,183.875,184.000
2024-01-11 15:30:00,184.125,184.525,184.100,184.475
2024-01-11 16:00:00,184.400,184.400,184.050,184.300
2024-01-11 16:30:00,184.300,184.475,184.150,184.400
2024-01-11 17:00:00,184.350,184.350,184.100,184.100
2024-01-11 17:30:00,184.100,184.300,183.975,184.125
2024-01-11 18:00:00,184.225,184.650,184.200,184.450
2024-01-11 18:30:00,184.425,184.650,184.350,184.400
2024-01-11 19:00:00,184.350,184.350,184.350,184.350
2024-01-12 14:30:00,184.475,184.525,184.250,184.325
2024-01-12 15:00:00,184.425,184.425,184.050,184.125
2024-01-12 15:30:00,183.975,183.975,183.800,183.800
2024-01-12 16:00:00,183.850,184.025,183.625,184.025
2024-01-12 16:30:00,184.150,184.150,183.900,183.925
2024-01-12 17:00:00,183.825,184.000,183.800,183.800
2024-01-12 17:30:00,183.775,184.450,183.775,184.450
2024-01-12 18:00:00,184.625,184.975,184.375,184.375
2024-01-12 18:30:00,184.575,184.575,184.325,184.375
2024-01-12 19:00:00,184.475,184.475,184.475,184.475
2024-01-16 14:30:00,184.250,185.000,184.250,184.500
2024-01-16 15:00:00,184.675,184.975,184.675,184.950
2024-01-16 15:30:00,184.950,185.050,184.900,184.975
2024-01-16 16:00:00,184.975,185.075,184.450,184.550
2024-01-16 16:30:00,184.425,184.550,184.425,184.425
2024-01-16 17:00:00,184.300,185.100,184.150,184.975
2024-01-16 17:30:00,185.150,185.300,185.000,185.225
2024-01-16 18:00:00,185.400,185.450,184.775,184.775
2024-01-16 18:30:00,185.000,185.150,185.000,185.125
2024-01-16 19:00:00,184.925,184.925,184.925,184.925
2024-01-17 14:30:00,184.625,185.075,184.625,184.925
2024-01-17 15:00:00,185.075,185.175,184.750,184.800
2024-01-17 16:00:00,184.975,184.975,184.700,184.700
2024-01-17 16:30:00,184.750,184.750,184.650,184.650
2024-01-17 17:00:00,184.575,184.600,184.500,184.600
2024-01-17 17:30:00,184.575,184.625,184.525,184.625
2024-01-17 18:00:00,184.675,184.900,184.675,184.850
2024-01-17 18:30:00,185.100,185.550,184.975,185.400
2024-01-17 19:00:00,185.375,185.375,185.275,185.275
2024-01-18 14:30:00,185.000,186.150,185.000,186.050
2024-01-18 15:00:00,186.025,186.475,185.875,185.875
2024-01-18 15:30:00,185.775,186.200,185.775,185.975
2024-01-18 16:00:00,186.350,186.425,186.350,186.425
2024-01-18 16:30:00,186.425,186.500,186.150,186.325
2024-01-18 17:00:00,186.325,186.325,186.250,186.300
2024-01-18 17:30:00,186.625,186.800,186.300,186.550
2024-01-18 18:00:00,186.650,186.650,186.475,186.500
2024-01-18 18:30:00,186.575,186.650,186.500,186.500
2024-01-18 19:00:00,186.500,186.550,186.425,186.425
2024-01-19 14:30:00,186.250,186.375,186.175,186.200
2024-01-19 15:00:00,186.500,186.625,186.225,186.450
2024-01-19 15:30:00,186.425,186.575,186.275,186.450
2024-01-19 16:00:00,186.650,186.650,186.300,186.400
2024-01-19 16:30:00,186.475,186.475,186.475,186.475
2024-01-19 17:00:00,186.375,186.475,186.375,186.475
2024-01-19 17:30:00,186.425,186.600,186.350,186.600
2024-01-19 18:00:00,186.525,186.625,186.475,186.500
2024-01-19 18:30:00,186.525,186.775,186.525,186.750
2024-01-19 19:00:00,186.450,186.500,186.400,186.400
2024-01-22 14:30:00,186.550,186.550,185.450,185.775
2024-01-22 15:00:00,185.750,185.925,185.725,185.900
2024-01-22 15:30:00,186.100,186.100,185.975,185.975
2024-01-22 16:00:00,186.050,186.075,185.975,186.075
2024-01-22 16:30:00,186.100,186.200,186.050,186.200
2024-01-22 17:00:00,186.200,186.350,186.125,186.125
2024-01-22 17:30:00,186.275,186.525,186.275,186.525
2024-01-22 18:00:00,186.475,186.950,186.475,186.875
2024-01-22 18:30:00,186.850,186.950,186.725,186.950
2024-01-22 19:00:00,186.900,187.000,186.900,186.950
2024-01-23 14:30:00,186.850,187.025,186.675,186.975
2024-01-23 15:00:00,186.925,187.000,186.850,186.925
2024-01-23 15:30:00,187.000,187.175,186.950,187.175
2024-01-23 16:00:00,187.150,187.400,187.150,187.175
2024-01-23 16:30:00,187.100,187.150,187.100,187.125
2024-01-23 17:00:00,187.200,187.375,187.200,187.375
2024-01-23 17:30:00,187.375,187.500,187.375,187.475
2024-01-23 18:00:00,187.425,187.475,187.375,187.450
2024-01-23 18:30:00,187.475,187.600,187.375,187.500
2024-01-23 19:00:00,187.400,187.400,187.375,187.400
2024-01-24 14:30:00,187.050,188.100,187.050,188.100
2024-01-24 15:00:00,188.050,188.175,187.950,188.175
2024-01-24 15:30:00,188.275,188.350,188.075,188.075
2024-01-24 16:00:00,188.050,188.050,187.775,187.775
2024-01-24 16:30:00,188.075,188.100,187.975,188.000
2024-01-24 17:00:00,188.050,188.150,188.050,188.150
2024-01-24 17:30:00,188.200,188.300,188.150,188.200
2024-01-24 18:00:00,188.150,188.275,188.125,188.275
2024-01-24 18:30:00,188.300,188.300,188.200,188.250
2024-01-24 19:00:00,188.225,188.275,188.225,188.225
2024-01-25 14:30:00,188.125,188.125,187.400,188.100
2024-01-25 15:00:00,188.225,188.225,187.625,187.700
2024-01-25 15:30:00,187.700,187.800,187.600,187.800
2024-01-25 16:00:00,187.750,187.850,187.700,187.850
2024-01-25 16:30:00,188.075,188.075,187.900,188.050
2024-01-25 17:00:00,188.000,188.275,187.900,188.175
2024-01-25 17:30:00,188.225,189.000,188.200,188.950
2024-01-25 18:00:00,189.000,190.000,188.925,189.025
